<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201216,000000,0.1406320,0.1406320,0.1406320,0.1406320,0
20201217,000000,0.1405170,0.1405170,0.1405170,0.1405170,0
20201218,000000,0.1396710,0.1396710,0.1396710,0.1396710,0
20201219,000000,0.1403840,0.1403840,0.1403840,0.1403840,0
20201222,000000,0.1429820,0.1429820,0.1429820,0.1429820,0
20201223,000000,0.1442790,0.1442790,0.1442790,0.1442790,0
20201224,000000,0.1444850,0.1444850,0.1444850,0.1444850,0
20201225,000000,0.1433010,0.1433010,0.1433010,0.1433010,0
20201226,000000,0.1410430,0.1410430,0.1410430,0.1410430,0
20201229,000000,0.1411540,0.1411540,0.1411540,0.1411540,0
20201230,000000,0.1410370,0.1410370,0.1410370,0.1410370,0
20201231,000000,0.1414570,0.1414570,0.1414570,0.1414570,0
20210101,000000,0.1414570,0.1414570,0.1414570,0.1414570,0
20210112,000000,0.1426820,0.1426820,0.1426820,0.1426820,0
20210113,000000,0.1419330,0.1419330,0.1419330,0.1419330,0
20210114,000000,0.1403850,0.1403850,0.1403850,0.1403850,0
20210115,000000,0.1399380,0.1399380,0.1399380,0.1399380,0
20210116,000000,0.1399800,0.1399800,0.1399800,0.1399800,0
20210119,000000,0.1410230,0.1410230,0.1410230,0.1410230,0
20210120,000000,0.1411830,0.1411830,0.1411830,0.1411830,0
20210121,000000,0.1404860,0.1404860,0.1404860,0.1404860,0
20210122,000000,0.1412170,0.1412170,0.1412170,0.1412170,0
20210123,000000,0.1430170,0.1430170,0.1430170,0.1430170,0
20210126,000000,0.1439690,0.1439690,0.1439690,0.1439690,0
20210127,000000,0.1456070,0.1456070,0.1456070,0.1456070,0
20210128,000000,0.1443770,0.1443770,0.1443770,0.1443770,0
20210129,000000,0.1470310,0.1470310,0.1470310,0.1470310,0
20210130,000000,0.1468520,0.1468520,0.1468520,0.1468520,0
20210202,000000,0.1456870,0.1456870,0.1456870,0.1456870,0
20210203,000000,0.1464080,0.1464080,0.1464080,0.1464080,0
20210204,000000,0.1460130,0.1460130,0.1460130,0.1460130,0
20210205,000000,0.1453960,0.1453960,0.1453960,0.1453960,0
20210206,000000,0.1443190,0.1443190,0.1443190,0.1443190,0
20210209,000000,0.1419210,0.1419210,0.1419210,0.1419210,0
20210210,000000,0.1415700,0.1415700,0.1415700,0.1415700,0
